tags|dialogue_act
great###O job###O .###O|affirm
i###O need###O to###O edit###B-action this###B-refer photo###I-refer|inform
<value>###B-value|inform
no###O|negate
background###B-refer|inform
the###B-refer vase###I-refer|inform
yes###O|affirm
vase###B-refer|inform
<attribute>###B-attribute|inform
man###B-refer|inform
<value>###B-value|inform
no###O|negate
i###O want###O to###O brighten###B-action the###B-refer motorcycle###I-refer .###O|inform
<value>###B-value|inform
<attribute>###B-attribute|inform
yes###O|affirm
yes###O|affirm
<attribute>###B-attribute|inform
man###B-refer|inform
<attribute>###B-attribute|inform
can###O you###O spot###B-action the###B-refer black###I-refer fire###I-refer hydrant###I-refer in###O the###O picture###O ?###O|inform
<attribute>###B-attribute <value>###B-value|inform
let###O 's###O brighten###B-action it###B-refer up###O a###O little###O|inform
the###B-refer yellow###I-refer hydrant###I-refer|inform
okay###O .###O now###O how###O about###O that###O yellow###B-refer fire###I-refer hydrant###I-refer ?###O|affirm
yes###O|affirm
yes###O|affirm
<value>###B-value|inform
yes###O|affirm
fire###B-refer|inform
image###O|inform
make###B-action the###B-refer woman###I-refer 's###O <attribute>###B-attribute <value>###B-value|inform
can###O you###O change###B-action something###B-refer in###I-refer the###I-refer entire###I-refer image###I-refer ?###O|inform
make###B-action the###O <attribute>###B-attribute <value>###B-value|inform
man###B-refer|inform
yes###O|affirm
woman###B-refer|inform
i###O want###O to###O edit###B-action the###B-refer woman###I-refer .###O|inform
yes###O|affirm
make###B-action the###O <attribute>###B-attribute <value>###B-value|inform
fire###B-refer|inform
yes###O|affirm
<attribute>###B-attribute <value>###B-value|inform
increas###B-action <attribute>###B-attribute|inform
yes###O|affirm
no###O|negate
<attribute>###B-attribute|inform
fireplace###B-refer|inform
yes###O|affirm
can###O you###O decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer woman###I-refer on###I-refer the###I-refer left###I-refer 's###I-refer hands###I-refer|inform
no###O|negate
no###O just###O her###B-refer hands###I-refer|negate
yes###O|affirm
yes###O|affirm
the###B-refer whole###I-refer picture###I-refer|inform
can###O you###O decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer pink###I-refer umbrella###I-refer to###O <value>###B-value|inform
can###O you###O edit###B-action the###B-refer woman###I-refer on###I-refer the###I-refer right###I-refer to###O also###O have###O a###O <attribute>###B-attribute of###O <value>###B-value|inform
can###O you###O increase###B-action the###O <attribute>###B-attribute to###O <value>###B-value ?###O|inform
no###O the###B-refer hands###I-refer holding###I-refer the###I-refer umbrella###I-refer|negate
motorcycle###B-refer|inform
<value>###B-value|inform
<attribute>###B-attribute|inform
yes###O|affirm
<attribute>###B-attribute|inform
yes###O|affirm
yes###O|affirm
motorcycle###B-refer|inform
<attribute>###B-attribute|inform
<attribute>###B-attribute|inform
<value>###B-value|inform
no###O|negate
motorcycle###B-refer|inform
these###O are###O <value>###B-refer motorcycles###I-refer|inform
<value>###B-value|inform
<value>###B-value|inform
<value>###B-value|inform
truck###B-refer|inform
yes###O|affirm
no###O|negate
motorcycle###B-refer|inform
motorcycle###B-refer|inform
yes###O|affirm
car###B-refer|inform
<attribute>###B-attribute|inform
motorcycle###B-refer|inform
yes###O|affirm
<value>###B-value|inform
<attribute>###B-attribute|inform
yes###O|affirm
<value>###B-value|inform
the###B-refer man###I-refer|inform
<attribute>###B-attribute <value>###B-value|inform
his###B-refer eyebrows###I-refer|inform
<attribute>###B-attribute|inform
his###B-refer eyebrows###I-refer|inform
yes###O|affirm
the###B-refer red###I-refer bottle###I-refer|inform
no###O|negate
yes###O|affirm
sausage###B-refer|inform
yes###O|affirm
<attribute>###B-attribute to###O <value>###B-value|inform
set###B-action the###O <attribute>###B-attribute to###O <value>###B-value|inform
the###B-refer bottle###I-refer with###I-refer the###I-refer green###I-refer cap###I-refer|inform
the###B-refer ketchup###I-refer|inform
mayonnaise###B-refer|inform
yes###O|affirm
whole###B-refer|inform
<value>###B-value|inform
nice###O|affirm
<attribute>###B-attribute|inform
contrust###B-attribute|inform
very###O nice###O|affirm
outlook###B-refer|inform
nature###B-refer pictures###I-refer|inform
whole###B-refer objects###I-refer|inform
attractive###O colour###B-attribute|inform
<attribute>###B-attribute|inform
fastfood###B-refer|inform
yes###O correct###O|affirm
<attribute>###B-attribute|inform
object###B-refer whole###I-refer|inform
yes###O|affirm
<attribute>###B-attribute|inform
correct###O|affirm
yes###O|affirm
<value>###B-value|inform
outlook###B-refer|inform
<attribute>###B-attribute|inform
outlook###B-refer|inform
<value>###B-value|inform
no###O|negate
correct###O|affirm
yes###O current###B-refer region###I-refer image###I-refer|affirm
yes###O|affirm
side###B-refer look###I-refer|inform
yes###O|affirm
side###B-refer|inform
<attribute>###B-attribute|inform
bye###O|inform
yes###O|affirm
it###O 's###O done###O for###O now###O .###O thanks###O .###O|affirm
yes###O|affirm
thank###O you###O !###O|affirm
no###O ,###O the###O previous###O one###O !###O|negate
no###O|negate
hi###O ,###O what###O is###O current###O <attribute>###B-attribute level###O of###O the###B-refer image###I-refer ?###O|inform
yes###O ,###O can###O you###O reduce###B-action its###B-refer <attribute>###B-attribute to###O <value>###B-value ?###O|affirm
yes###O|affirm
no###O|negate
can###O you###O reduce###B-action the###O <attribute>###B-attribute of###O the###B-refer same###I-refer image###I-refer ?###O|inform
make###B-action it###O <value>###B-value .###O|inform
make###B-action the###O <attribute>###B-attribute level###O of###O the###B-refer previous###I-refer image###I-refer <value>###B-value .###O|inform
<value>###B-value|inform
yes###O|affirm
<value>###B-value|inform
yes###O|affirm
could###O you###O increase###B-action the###O <attribute>###B-attribute ?###O|inform
<value>###B-value|inform
the###B-refer elephant###I-refer on###I-refer the###I-refer left###I-refer|inform
<attribute>###B-attribute|inform
<attribute>###B-attribute|inform
<attribute>###B-attribute|inform
yes###O|affirm
nice###O|inform
the###B-refer elephant###I-refer on###I-refer the###I-refer right###I-refer|inform
the###B-refer elephant###I-refer in###I-refer the###I-refer middle###I-refer|inform
yes###O|affirm
the###B-refer parking###I-refer meter###I-refer|inform
<value>###B-value|inform
no###O|negate
can###O you###O make###B-action the###B-refer yellow###I-refer poles###I-refer less###O bright###O ?###O|inform
can###O you###O make###B-action the###B-refer image###I-refer brighter###O ?###O|inform
<attribute>###B-attribute|inform
<attribute>###B-attribute|inform
make###B-action the###B-refer car###I-refer less###O bright###B-attribute|inform
<value>###B-value|inform
it###O is###O not###O .###O|negate
no###O|negate
yellow###B-refer pole###I-refer|inform
no###O|negate
yes###O|affirm
<value>###B-value|inform
the###B-refer chicken###I-refer|inform
yes###O|affirm
the###B-refer chicken###I-refer|inform
<attribute>###B-attribute|inform
<attribute>###B-attribute|inform
yes###O|affirm
chicken###B-refer|inform
grass###B-refer|inform
<value>###B-value|inform
yes###O|affirm
<value>###B-value|inform
<attribute>###B-attribute|inform
the###B-refer grass###I-refer|inform
no###O|negate
brighten###B-action up###O the###B-refer chicken###I-refer|inform
no###O|negate
the###B-refer leaves###I-refer|inform
yes###O|affirm
adjust###B-action brighness###B-attribute <value>###B-value on###O the###B-refer train###I-refer|inform
the###B-refer man###I-refer|inform
no###O|negate
no###O|negate
no###O|negate
no###O|negate
change###B-action <attribute>###B-attribute to###O <value>###B-value|inform
the###B-refer whole###I-refer picture###I-refer|inform
the###B-refer sky###I-refer|inform
the###B-refer train###I-refer|inform
yes###O|affirm
no###O|negate
adjust###B-action <attribute>###B-attribute on###O the###B-refer train###I-refer to###O <value>###B-value|inform
adjust###B-action <attribute>###B-attribute to###O <value>###B-value on###O the###B-refer man###I-refer|inform
yes###O|affirm
the###B-refer ground###I-refer|inform
trains###B-refer|inform
adjust###B-action <attribute>###B-attribute to###O <value>###B-value|inform
no###O|negate
<value>###B-value|inform
yes###O|affirm
yes###O|affirm
yes###O|affirm
change###B-action the###B-refer goat###I-refer 's###I-refer <attribute>###B-attribute|inform
change###B-action the###B-refer baby###I-refer goat###I-refer 's###I-refer <attribute>###B-attribute|inform
make###B-action the###B-refer rock###I-refer 's###O <attribute>###B-attribute higher###O|inform
change###B-action the###B-refer rock###I-refer 's###O <attribute>###B-attribute|inform
no###O|negate
make###B-action the###B-refer goat###I-refer 's###I-refer <attribute>###B-attribute higher###O|inform
<value>###B-value|inform
<value>###B-value|inform
it###O is###O vegtables###B-refer in###I-refer a###I-refer pot###I-refer|inform
yes###O|affirm
adjust###B-action the###O <attribute>###B-attribute|inform
adjust###B-action <attribute>###B-attribute|inform
<value>###B-value|inform
it###O is###O chopped###B-refer vegtables###I-refer|inform
there###O is###O a###O wood###B-refer spoon###I-refer in###I-refer the###I-refer pot###I-refer also###O|inform
no###O|negate
yes###O|affirm
<value>###B-value|inform
<attribute>###B-attribute|inform
yes###O|affirm
no###O|negate
<value>###B-value|inform
edit###B-action the###B-refer lights###I-refer .###O|inform
red###O|inform
<value>###B-value|inform
edit###B-action building###B-refer|inform
light###B-refer|inform
edit###B-action it###O .###O|inform
yes###O|affirm
yes###O|affirm
edit###B-action sky###B-refer|inform
edit###B-action lights###B-refer|inform
edit###B-action street###B-refer lights###I-refer|inform
edit###B-action sign###B-refer|inform
edit###B-action the###B-refer light###I-refer|inform
edit###B-action street###B-refer|inform
edit###B-action light###B-refer|inform
<attribute>###B-attribute|inform
no###O|negate
select###B-action sail###B-refer|inform
yes###O|affirm
<attribute>###B-attribute|inform
<value>###B-value|inform
select###B-action sailboat###B-refer|inform
yes###O|affirm
<attribute>###B-attribute|inform
lighten###B-action sailboat###B-refer .###O|inform
<value>###B-value|inform
<value>###B-value|inform
the###B-refer woman###I-refer|inform
the###B-refer painting###I-refer|inform
yes###O|affirm
yes###O|affirm
laptop###B-refer|inform
<attribute>###B-attribute|inform
hi###O|inform
yes###O|affirm
the###B-refer laptop###I-refer|inform
<attribute>###B-attribute|inform
the###B-refer woman###I-refer|inform
computer###B-refer|inform
no###O|negate
<value>###B-value|inform
no###O|negate
make###B-action her###B-refer sweater###I-refer ligher###O|inform
<value>###B-value|inform
good###O|affirm
the###B-refer sky###I-refer|inform
yes###O|affirm
<attribute>###B-attribute|inform
great###O|affirm
sky###B-refer|inform
<attribute>###B-attribute|inform
no###O|negate
yes###O|affirm
the###B-refer right###I-refer bus###I-refer|inform
edit###B-action the###B-refer bus###I-refer|inform
<value>###B-value|inform
yes###O it###O 's###O a###B-refer bike###I-refer|affirm
<value>###B-value|inform
<value>###B-value|inform
motorcycle###B-refer|inform
yes###O|affirm
how###O are###O you###O ?###O|inform
increase###B-action <attribute>###B-attribute|inform
yes###O|affirm
yes###O|affirm
<attribute>###B-attribute|inform
yes###O|affirm
yes###O|affirm
no###O|negate
<value>###B-value|inform
duck###B-refer|inform
contract###O|inform
edit###B-action <attribute>###B-attribute|inform
duck###B-refer|inform
the###B-refer ducks###I-refer|inform
<value>###B-value|inform
<attribute>###B-attribute|inform
yes###O|affirm
edit###B-action this###B-refer image###I-refer|inform
water###B-refer|inform
fully###O|inform
<value>###B-value|inform
dog###B-refer|inform
<value>###B-value|inform
lower###B-action <attribute>###B-attribute|inform
brown###B-refer dog###I-refer|inform
yes###O|affirm
yes###O|affirm
<attribute>###B-attribute|inform
lower###B-action <attribute>###B-attribute|inform
no###O|negate
no###O|negate
green###B-refer couch###I-refer|inform
brown###B-refer dog###I-refer|inform
brown###B-refer dog###I-refer|inform
dog###B-refer|inform
turn###B-action down###O <attribute>###B-attribute|inform
yes###O|affirm
<attribute>###B-attribute|inform
done###O|inform
<value>###B-value|inform
<value>###B-value|inform
yes###O|affirm
yes###O|affirm
<attribute>###B-attribute|inform
thats###O correct###O|affirm
<value>###B-value|inform
great###O job###O|affirm
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer man###I-refer on###I-refer the###I-refer left###I-refer|inform
no###O|negate
yes###O|affirm
yes###O|affirm
yes###O|affirm
increase###B-action the###O <attribute>###B-attribute on###O the###B-refer horse###I-refer on###I-refer the###I-refer right###I-refer by###O <value>###B-value|inform
increase###B-action the###O <attribute>###B-attribute on###O the###B-refer horse###I-refer on###I-refer the###I-refer left###I-refer by###O <value>###B-value|inform
decrease###B-action the###O <attribute>###B-attribute of###O the###B-refer image###I-refer by###O <value>###B-value|inform
decrease###B-action the###O <attribute>###B-attribute by###O <value>###B-value on###O the###B-refer man###I-refer on###I-refer the###I-refer right###I-refer|inform
yes###O|affirm
<value>###B-value|inform
<value>###B-value|inform
increase###B-action <attribute>###B-attribute of###O the###B-refer background###I-refer|inform
no###O|negate
yes###O|affirm
increase###B-action <attribute>###B-attribute of###O photo###B-refer|inform
<value>###B-value|inform
yes###O|affirm
increase###B-action <attribute>###B-attribute|inform
background###B-refer|inform
increase###B-action <attribute>###B-attribute of###O bicycle###B-refer|inform
<attribute>###B-attribute|inform
unicycle###B-refer|inform
<value>###B-value|inform
the###B-refer unicycle###I-refer|inform
a###B-refer orange###I-refer|inform
the###B-refer orange###I-refer|inform
<attribute>###B-attribute|inform
no###O|negate
the###B-refer cycle###I-refer|inform
no###O|negate
unicycle###B-refer|inform
yes###O|affirm
<value>###B-value|inform
the###B-refer plant###I-refer|inform
yes###O|affirm
the###B-refer unicycle###I-refer|inform
no###O|negate
the###B-refer aeroplane###I-refer ,###O <attribute>###B-attribute <value>###B-value|inform
an###B-refer aeroplane###I-refer|inform
yes###O|affirm
<value>###B-value|inform
yes###O|affirm
yes###O|affirm
the###B-refer aeroplane###I-refer|inform
<attribute>###B-attribute|inform
the###B-refer aroplane###I-refer ,###O ,###O <attribute>###B-attribute <value>###B-value|inform
yes###O|affirm
the###B-refer aeroplane###I-refer ,###O ,###O ,###O <attribute>###B-attribute <value>###B-value|inform
bag###B-refer|inform
edit###B-action <attribute>###B-attribute .###O|inform
yes###O .###O|affirm
yes###O|affirm
pouch###B-refer|inform
yes###O|affirm
there###O is###O clothing###B-refer in###O the###O image###O .###O|inform
<value>###B-value|inform
<attribute>###B-attribute|inform
the###B-refer tie###I-refer|inform
<value>###B-value|inform
make###B-action the###B-refer toothpaste###I-refer have###O more###O <attribute>###B-attribute .###O|inform
tooth###B-refer brush###I-refer|inform
no###O|negate
<value>###B-value|inform
yes###O|affirm
<value>###B-value|inform
make###B-action the###B-refer toothbrush###I-refer darker###O .###O|inform
yes###O|affirm
no###O|negate
how###O many###O toothbrushes###B-refer are###O in###O the###O image###O ?###O|inform
<attribute>###B-attribute|inform
no###O|negate
make###B-action the###B-refer toothpaste###I-refer brighter###O .###O|inform
sandwich###B-refer|inform
yes###O|affirm
change###B-action man###B-refer to###O <attribute>###B-attribute <value>###B-value|inform
no###O|negate
hi###O !###O can###O you###O change###B-action the###O <attribute>###B-attribute to###O <value>###B-value on###O the###B-refer sandwich###I-refer ?###O|inform
man###B-refer|inform
yes###O|affirm
man###B-refer|inform
man###B-refer <attribute>###B-attribute <value>###B-value|inform
yes###O|affirm
bread###B-refer|inform
no###O|negate
contrats###B-attribute|inform
<value>###B-value|inform
the###B-refer cats###I-refer|inform
yes###O|affirm
ys###O|affirm
yes###O|affirm
<value>###B-value|inform
<attribute>###B-attribute|inform
what###O is###O in###O the###B-refer images###I-refer ?###O|inform
cats###B-refer|inform
<attribute>###B-attribute|inform
lightly###O|inform
yes###O|affirm
yes###O|affirm
get###B-action bright###B-attribute|inform
bottom###B-refer one###I-refer|inform
just###O saturate###B-action|inform
just###O increase###B-action <attribute>###B-attribute|inform
<value>###B-value|inform
<value>###B-value|inform
yes###O|affirm
<attribute>###B-attribute|inform
<value>###B-value|inform
<value>###B-value|inform
edit###B-action right###B-refer horse###I-refer|inform
delete###B-action|inform
thanks###O|affirm
<attribute>###B-attribute|inform
yes###O|affirm
<attribute>###B-attribute|inform
yes###O|affirm
can###O you###O crop###B-action out###O the###B-refer left###I-refer horse###I-refer|inform
